Event	ID	Name			Wwise Object Path	Notes
	435645657	Play_G_J_03_04			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_03_04	
	435645660	Play_G_J_03_01			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_03_01	
	435645662	Play_G_J_03_03			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_03_03	
	435645663	Play_G_J_03_02			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_03_02	
	587868720	Play_G_J_01_03			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_01_03	
	587868721	Play_G_J_01_02			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_01_02	
	587868722	Play_G_J_01_01			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_01_01	
	1954516944	Play_G_J_02_02			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_02_02	
	1954516947	Play_G_J_02_01			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_G_J_02_01	
	2311913118	Play_Dandelion_made_some_interesting_friends			\Default Work Unit\Voicelines\Geralt - Jaskier\Play_Dandelion_made_some_interesting_friends	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	176257543	G_J_03_01	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_03_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_03_01		79808
	407230414	G_J_02_01	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_02_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_02_01		82368
	451351542	G_J_01_02	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_01_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_01_02		488896
	669214681	G_J_02_02	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_02_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_02_02		277696
	702312120	G_J_01_01	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_01_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_01_01		344768
	702421341	G_J_03_02	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_03_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_03_02		1278144
	740070200	Dandelion made some interesting friends	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Dandelion made some interesting friends_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\Dandelion made some interesting friends		225984
	808551610	G_J_03_03	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_03_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_03_03		319936
	939962146	G_J_03_04	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_03_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_03_04		653504
	949076911	G_J_01_03	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\G_J_01_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Geralt-Jaskier\G_J_01_03		409280

